City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Sao Jose Da Coroa Grande,BR,79.02,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
546,Gilbues,BR,78.26,light rain,-9.8317,-45.3439,Hotel Camapuã
549,Concordia,AR,78.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
556,Dubbo,AU,78.93,broken clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
560,Lajas,PR,78.12,clear sky,18.05,-67.0593,Hostal Universitario interamericana Río Piedras
565,Iturama,BR,77.88,broken clouds,-19.7281,-50.1956,República DominaCana
567,Mana,GF,76.96,overcast clouds,5.6592,-53.7767,LE SAMANA
569,Nortelandia,BR,75.07,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
577,Kilindoni,TZ,80.94,clear sky,-7.9139,39.6668,Bustani B&B
590,Belmonte,BR,76.51,heavy intensity rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
592,Itamaraca,BR,79.23,clear sky,-7.7478,-34.8256,Special K's Bed & Breakfast
596,Chavakkad,IN,76.37,broken clouds,10.5333,76.05,Rajah Island
598,Guiratinga,BR,75.49,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
601,Byron Bay,AU,81.05,overcast clouds,-28.65,153.6167,Backpackers Inn
607,Port Hedland,AU,91.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
608,Miri,MY,79.03,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
612,Manavalakurichi,IN,78.89,scattered clouds,8.1333,77.3,Muttom beach west
617,Urucara,BR,75.7,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
618,Male,MV,82.18,broken clouds,4.1748,73.5089,Hotel Octave Maldives
625,Tambacounda,SN,78.21,clear sky,13.7539,-13.7586,
631,Manaure,CO,80.64,few clouds,11.7751,-72.4445,Hotel Palaaima
632,Aloleng,PH,79.5,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
635,Nanakuli,US,75.15,heavy intensity rain,21.3906,-158.1547,Camp Pālehua
639,Kensington,AU,80.76,scattered clouds,-33.9167,151.2167,Meriton Suites Zetland
645,Catuday,PH,77.5,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
647,Mareeba,AU,88.32,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
655,Yaan,NG,77.07,overcast clouds,7.3833,8.5667,
656,Ipubi,BR,79.83,overcast clouds,-7.6519,-40.1489,Só Love Motel
658,Parana,AR,81.57,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
661,Port Keats,AU,90.91,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
666,Kota Belud,MY,78.66,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
669,Pemba,MZ,79.07,scattered clouds,-12.974,40.5178,Guesthouse Samotina
670,Robertsport,LR,81.03,light rain,6.7533,-11.3686,Kwepunha Retreat
676,Garissa,KE,76.64,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
681,Ambunti,PG,87.93,broken clouds,-4.2365,142.8448,Ambunti Lodge
683,The Valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
