City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Arraial Do Cabo,BR,-22.9661,-42.0278,73.11,88,65,9.69,broken clouds
69,Bluff,NZ,-46.6,168.3333,65.8,61,1,10.83,clear sky
70,Atar,MR,20.5169,-13.0499,66.74,15,82,9.28,broken clouds
71,Fairbanks,US,64.8378,-147.7164,21.16,76,75,3.44,broken clouds
72,Bubaque,GW,11.2833,-15.8333,81.68,75,52,10.18,broken clouds
73,Port-Gentil,GA,-0.7193,8.7815,77.92,84,100,4.92,overcast clouds
74,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,18.41,scattered clouds
75,Tuatapere,NZ,-46.1333,167.6833,65.82,48,0,4.56,clear sky
76,Kargil,IN,34.5667,76.1,6.22,72,31,2.68,scattered clouds
77,Telenesti,MD,47.4997,28.3656,49.84,92,94,3.58,overcast clouds
78,Adrar,MR,20.5022,-10.0711,62.38,17,99,11.34,overcast clouds
79,Dongfeng,CN,42.6403,125.5118,18.32,92,24,3.6,few clouds
80,Kodiak,US,57.79,-152.4072,40.51,81,90,9.22,light rain
81,Tukrah,LY,32.5341,20.5791,55.72,70,25,28.9,scattered clouds
82,Naze,JP,28.3667,129.4833,64.18,57,6,13.6,clear sky
83,Zeya,RU,53.75,127.2667,4.75,86,5,1.99,clear sky
84,Half Moon Bay,US,37.4636,-122.4286,56.62,89,1,6.91,mist
85,Provideniya,RU,64.3833,-173.3,14.11,79,90,13.42,light snow
86,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,23.02,broken clouds
87,Khatanga,RU,71.9667,102.5,-6.84,98,100,8.19,overcast clouds
88,Hukuntsi,BW,-24.0,21.75,73.94,24,3,8.88,clear sky
89,Sitka,US,57.0531,-135.33,33.69,75,40,0.0,scattered clouds
90,Atuona,PF,-9.8,-139.0333,79.16,67,9,18.97,clear sky
91,Inongo,CD,-1.95,18.2667,70.61,96,96,3.87,light rain
92,Mount Isa,AU,-20.7333,139.5,83.97,51,65,6.91,broken clouds
93,Husavik,IS,66.0449,-17.3389,31.91,88,82,8.01,broken clouds
94,Moerai,PF,-22.4333,-151.3333,78.73,81,100,12.53,overcast clouds
95,Panzhihua,CN,26.5851,101.7128,55.2,81,90,1.63,overcast clouds
96,Jamestown,US,42.097,-79.2353,35.19,83,90,21.0,light snow
97,Newport,GB,51.5877,-2.9984,43.02,84,14,7.4,few clouds
98,Saint-Pierre,RE,-21.3393,55.4781,74.88,75,75,3.44,broken clouds
99,Cochrane,CA,51.1834,-114.4687,19.67,84,1,5.75,clear sky
100,Thompson,CA,55.7435,-97.8558,-23.64,76,1,3.44,clear sky
101,Makushino,RU,55.2103,67.2442,2.97,92,16,10.69,few clouds
102,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,82,20,8.9,few clouds
103,Norman Wells,CA,65.282,-126.8329,-9.36,70,20,4.61,few clouds
104,Inuvik,CA,68.3499,-133.7218,18.36,73,75,4.61,broken clouds
105,Castro,BR,-24.7911,-50.0119,60.24,97,69,8.86,broken clouds
106,Lebu,CL,-37.6167,-73.65,58.14,87,9,12.17,clear sky
107,Aklavik,CA,68.2191,-135.0107,18.32,79,75,6.91,broken clouds
108,Burnie,AU,-41.0667,145.9167,61.21,50,93,10.11,overcast clouds
109,Faanui,PF,-16.4833,-151.75,80.92,77,98,16.75,light rain
110,Maba,CN,24.6841,113.5984,49.42,61,0,2.21,clear sky
111,Zhigansk,RU,66.7697,123.3711,-26.45,97,100,9.6,overcast clouds
112,Cambridge,CA,43.3601,-80.3127,33.37,83,90,7.0,light snow
113,Ilulissat,GL,69.2167,-51.1,19.42,49,93,18.41,overcast clouds
114,Sola,VU,-13.8833,167.55,84.87,79,75,2.3,light rain
115,Carnarvon,AU,-24.8667,113.6333,75.27,73,90,11.5,overcast clouds
116,Airai,TL,-8.9266,125.4092,68.54,77,91,3.04,overcast clouds
117,Chaman,PK,30.9236,66.4512,44.67,23,0,3.0,clear sky
118,Bilibino,RU,68.0546,166.4372,-23.67,99,100,2.62,overcast clouds
119,Pangnirtung,CA,66.1451,-65.7125,1.08,94,100,3.98,overcast clouds
120,Taltal,CL,-25.4,-70.4833,64.85,74,82,6.42,broken clouds
121,Leningradskiy,RU,69.3833,178.4167,-6.45,86,100,28.34,overcast clouds
122,Arlit,NE,18.7369,7.3853,69.67,16,6,8.37,clear sky
123,Kharabali,RU,47.4196,47.2568,38.68,91,84,4.68,broken clouds
124,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,22,10.02,few clouds
125,Santiago De Cao,PE,-7.9589,-79.2392,64.53,88,94,11.5,fog
126,Lasa,IT,46.6166,10.7002,26.69,68,58,3.53,broken clouds
127,Acapulco,MX,16.8634,-99.8901,82.22,78,20,5.75,few clouds
128,Hermanus,ZA,-34.4187,19.2345,59.9,76,22,2.77,few clouds
129,Sao Filipe,CV,14.8961,-24.4956,77.38,69,22,6.08,few clouds
130,Jalu,LY,29.0331,21.5482,58.17,30,0,19.62,clear sky
131,Freudenstadt,DE,48.4333,8.4167,31.77,96,100,6.96,light snow
132,Rodas,CU,22.3408,-80.5572,79.68,84,8,3.71,clear sky
133,Itarema,BR,-2.9248,-39.9167,81.1,81,41,17.43,scattered clouds
134,Narsaq,GL,60.9167,-46.05,17.82,60,70,18.05,broken clouds
135,Broken Hill,AU,-31.95,141.4333,71.83,38,13,18.37,few clouds
136,Angoche,MZ,-16.2325,39.9086,76.95,86,83,7.83,broken clouds
137,Chuy,UY,-33.6971,-53.4616,62.65,89,3,7.16,clear sky
138,Seoul,KR,37.5683,126.9778,40.44,75,3,3.44,clear sky
139,Adre,TD,13.4667,22.2,68.45,19,3,8.46,clear sky
140,Georgetown,MY,5.4112,100.3354,78.89,77,20,5.75,few clouds
141,Humberto De Campos,BR,-2.5983,-43.4611,78.89,83,57,6.49,broken clouds
142,Troitsko-Pechorsk,RU,62.7084,56.1964,-17.21,100,91,3.04,overcast clouds
143,Alamos,MX,27.0167,-108.9333,74.71,29,0,3.18,clear sky
144,Zhangye,CN,38.9342,100.4517,24.22,58,60,0.98,broken clouds
145,Takoradi,GH,4.8845,-1.7554,80.06,84,94,7.65,overcast clouds
146,Bud,US,39.447,-86.1758,33.82,57,18,13.8,few clouds
147,Nikolskoye,RU,59.7035,30.7861,6.4,97,100,3.04,overcast clouds
148,Celestun,MX,20.8667,-90.4,77.95,84,10,12.64,clear sky
